SiteID,HBIAPV.158p,HBIAPV.158n,HBIAPV.158Prop,HBDWV.269p,HBDWV.269n,HBDWV.269Prop,HBSBV.342p,HBSBV.342n,HBSBV.342Prop,HBABPV.460p,HBABPV.460n,HBABPV.460Prop,HBBQCV.536p,HBBQCV.536n,HBBQCV.536Prop,HBCBPV.774p,HBCBPV.774n,HBCBPV.774Prop,IAPV.158p,IAPV.158n,IAPV.158Prop,DWV.269p,DWV.269n,DWV.269Prop,SBV.342p,SBV.342n,SBV.342Prop,ABPV.460p,ABPV.460n,ABPV.460Prop,BQCV.536p,BQCV.536n,BQCV.536Prop,CBPV.774p,CBPV.774n,CBPV.774Prop,Urban,Commercial,Forest
49,0,3,0,0,3,0,3,0,1,0,3,0,2,1,0.666666666666667,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,3,7,0.3,0,10,0,0,1,0
50,0,3,0,1,2,0.333333333333333,3,0,1,0,3,0,3,0,1,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0
51,0,3,0,0,3,0,2,1,0.666666666666667,0,3,0,2,1,0.666666666666667,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,1,0
52,0,3,0,2,1,0.666666666666667,3,0,1,0,3,0,3,0,1,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
53,0,3,0,0,3,0,0,3,0,0,3,0,3,0,1,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,6,4,0.6,0,10,0,0,0,0
54,0,3,0,1,2,0.333333333333333,0,3,0,0,3,0,3,0,1,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
56,0,3,0,3,0,1,3,0,1,0,3,0,1,2,0.333333333333333,1,2,0.333333333333333,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,0,0
57,0,3,0,3,0,1,0,3,0,0,3,0,0,3,0,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
58,0,3,0,0,3,0,0,3,0,0,3,0,3,0,1,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,2,8,0.2,0,10,0,0,0,0
59,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,1,9,0.1,1,9,0.1,0,10,0,0,10,0,0,10,0,0,10,0,0,1,0
60,0,3,0,1,2,0.333333333333333,1,2,0.333333333333333,0,3,0,0,3,0,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
62,0,3,0,0,3,0,0,3,0,0,3,0,2,1,0.666666666666667,2,1,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
63,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
64,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
65,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,1,9,0.1,0,10,0,0,0,0
66,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,1,2,0.333333333333333,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
67,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,2,1,0.666666666666667,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
68,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
69,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,2,8,0.2,2,8,0.2,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
70,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
